siteid,latitude,longitude
5475,38.2984719,21.99347853
1693,36.86948216,27.13740737
3362,41.41703667,26.23003536
1613,36.44397222,28.21180556
1402,40.67257237,22.96053267
1095,40.77805448,22.574866
3930,41.102365,23.54879709
6223,37.63845635,26.27887638
2848,38.21519444,23.80872222
3508,41.22973693,24.8703279
63,38.01013889,23.84875
1746,37.43975997,25.41764218
3146,41.11353369,25.37994718
2688,37.94180239,23.7495799
3503,41.59460031,26.45147464
3615,41.11920506,22.86619551
1988,39.25744196,26.39386788
5321,37.02526289,21.64220541
5270,37.19540316,22.27968025
3568,40.34751068,23.01571341
2135,38.88548744,23.41417309
4573,39.43677778,20.48486111
2500,38.070389,23.836625
156,37.95758303,23.73465079
762,38.11683333,23.77394444
2212,38.84648289,20.97324005
2672,35.35913266,24.47539342
4103,39.3378461,22.09655969
2670,38.00125264,23.71884137
5573,37.59564308,23.07958589
5042,38.01814228,23.85267718
1342,40.60016667,22.97611111
3574,40.77520073,23.99332223
4767,39.37883333,20.32738889
3101,41.08532033,23.5440512
349,37.92612653,23.73559391
3369,40.97365141,25.42340028
2447,38.72295509,23.4908545
3145,41.11731447,25.40347509
124,37.71359298,24.05407812
2823,37.96721855,23.64281478
759,37.96288715,23.76093569
1186,40.62633921,23.44030379
4783,39.7282798,22.66926715
3776,41.06980838,23.93671234
1075,39.67419147,20.84004574
3855,40.88274714,24.24349084
232,37.94645541,23.67759534
823,37.97974354,23.64563314
2619,38.21426771,23.81604043
1418,38.09067761,23.72998718
2079,38.52792514,22.37829356
519,38.00448203,23.71448092
891,38.02383273,23.7359774
4475,39.58795597,20.5961241
44018,35.49606578,23.9615839
5248,38.13224662,22.43319027
2386,38.50187235,23.97561425
6155,37.79299241,24.90571881
3158,40.79039707,22.15078276
4778,37.71698117,23.94597824
241,38.10969444,23.75958333
3380,40.23957458,22.58726827
1433,40.73151137,22.91670523
1359,38.11819444,23.99091667
5547,36.84885882,22.53021541
6205,36.41908644,25.43119903
2551,38.4670511,23.57375416
5230,37.15810531,21.5857394
1170,38.03499389,23.79999703
2188,38.37309018,21.57169119
4970,37.95530866,23.95763127
2003,38.4100253,23.751638
1964,35.36266667,24.51086111
4094,39.52765639,21.43891006
1999,40.74793973,22.75728556
4268,39.42535695,22.21449252
2719,38.0053146,23.74510548
5377,38.26115961,21.74599793
2134,38.8022927,23.47671577
2236,38.58002248,24.08454959
1506,40.71595557,22.9651002
4551,39.34253666,21.52548786
154,37.96184885,23.72305676
2709,37.93978776,23.73981116
3190,40.02472222,23.92791667
6526,35.41822218,24.69281895
41698,40.58808175,23.75192151
3404,41.12773069,23.48150577
2963,38.04344444,23.77194444
6136,35.38071686,24.98491244
221,37.83684512,23.7770982
5424,37.8490188,21.38659124
646,37.97465349,23.73635093
3617,41.2579375,22.83164794
3019,40.05027554,23.4131323
4419,39.67563342,21.84571238
5366,37.36753971,23.20149779
1898,37.39686937,24.45954532
4416,39.30333724,22.36525702
188,37.9633255,23.69082478
6490,35.30247701,24.17304602
2156,37.98480556,24.00622222
5304,37.98613056,22.27934122
3399,41.32098654,23.52848488
764,37.34812165,23.46177696
323,38.06947222,23.71869444
3850,37.08229167,25.3702
118,37.94250439,24.00974537
4098,39.36450996,21.57538414
6310,34.9663099,25.13308506
588,38.08299239,23.8183741
2323,37.99978694,23.79801861
86,37.95221634,23.70583438
4782,39.59341275,22.46967865
1802,35.32291667,25.11786111
4625,39.3629568,21.92351078
6106,35.56954411,27.08618673
41580,40.62844995,22.95104572
5301,38.01318578,21.97988909
5797,37.40124323,25.26912881
297,38.02765941,23.44856794
4772,40.05224041,20.8294893
5256,37.95078988,22.31975407
1906,37.32997113,26.54407394
6394,35.40952778,23.78722222
3555,41.13953726,23.4021016
258,38.03232379,23.74513894
3941,40.80040355,23.80447696
1083,40.59003572,22.94718903
3009,40.25238537,23.27241863
1477,40.59670711,22.95758395
6405,35.19347222,25.36825
2180,39.14096066,21.63264115
2926,37.98900698,23.73283338
3775,40.84805915,25.72354579
4032,39.95375536,22.6508045
5593,38.0238766,23.99979373
5308,37.7354923,22.82485685
1807,36.72755355,25.26643368
6457,38.30612445,26.05873405
1768,37.30474118,26.56425049
4069,36.88175149,27.32889559
6298,36.85579615,25.46730085
990,38.02888889,23.76186111
6072,35.41244444,23.74541667
4036,39.55076994,22.17701287
3277,41.17839816,24.79072329
5486,37.6742307,20.82660337
5787,37.86961564,23.76449397
3544,41.10377801,25.47781978
176,37.74747849,23.90833547
1404,40.64302668,22.96896433
4298,39.42773364,21.63316208
545,38.02340583,23.78631256
543,37.97597162,23.72315534
6163,36.29155255,28.16192797
4840,36.39597222,25.43758333
5719,38.31571312,20.55049395
2685,38.02659314,23.72748919
4446,39.3299675,23.06495786
6406,35.194,25.01216667
602,37.65087407,24.02607028
6551,36.4521187,28.2183058
782,38.0415,23.78752778
1876,37.62913524,26.1126771
3868,38.10448397,23.67300208
43,38.03778718,23.69122838
4478,39.93395763,22.17149535
3458,40.82559258,22.5208086
3798,41.21721709,23.01171732
4164,39.94955519,21.96587588
4486,39.37037453,20.11170408
4273,39.6982942,22.24669887
6306,37.59359568,26.05641823
6402,35.31958333,25.13622222
4902,39.99323294,22.6039049
2433,38.64028681,22.76283572
41475,39.76800077,20.76237921
2724,37.98965006,23.72533931
1407,40.62206169,22.98133446
4885,39.52840698,21.95266252
5716,37.97577407,23.74154567
5073,37.96649497,23.70752652
4525,39.74711458,19.871885
41320,35.00458858,25.81456789
2197,38.45837339,21.98064549
630,38.08277704,23.87777831
1312,40.66343324,22.90797514
3234,40.90440152,24.25960771
4954,37.93483509,21.24465811
4175,39.65896367,22.43804673
1299,40.65975167,22.97296164
1134,40.66752642,22.58773337
4,38.01630013,23.73617507
2024,38.69266577,23.02071476
1701,37.48547379,25.34263328
215,38.01899807,23.68156605
4321,39.74329033,22.78403691
638,37.97724961,23.7291798
5092,38.23824729,22.12405199
540,38.00141246,23.69620778
6265,39.16642833,23.46557947
5005,36.82003636,22.56962929
2107,38.41116344,24.03796028
5133,37.59825055,22.81548092
116,37.88321565,23.93543325
464,37.92316541,23.70072308
3958,41.06183989,25.03252327
5552,37.9761607,23.90241287
5363,37.79388697,21.6336251
2731,38.0555,23.79294444
2629,37.88803733,23.88156179
3642,40.316572,21.3648557
1126,40.67784343,22.9852678
3430,40.05901893,23.35121952
6333,35.23104803,25.02691552
396,37.97256923,23.74487628
817,38.00752965,23.86223778
41684,38.16538506,21.48325078
41734,40.59325401,23.74718522
989,38.03844444,23.78377778
4685,39.12778035,21.94852382
5796,37.77890705,21.52500636
5003,38.27755797,21.77661429
5954,37.93951229,22.94915247
5303,37.8572978,21.62373111
6111,35.40696004,24.88791011
3046,40.3675,22.60122222
5522,37.03829481,22.38736306
3405,41.02735719,23.77978687
4346,37.43523308,25.40827368
42014,41.14871434,24.14595916
3183,40.90206539,21.81824966
704,37.98752494,23.75511401
2851,37.97779964,23.6533604
2276,38.6499685,21.91938331
3566,39.94359013,23.66310923
