siteid,latitude,longitude
0323,38.07055328,23.71930056
0324,38.02922222,23.79172222
0325,38.02164539,23.82877292
0326,38.09288564,23.82196506
0328,38.08210172,23.88265103
0329,38.00150364,23.70778239
0330,38.02385903,23.86021361
0331,37.93428331,23.70517772
0332,37.97055556,23.65833333
0333,38.01611711,23.75488272
0336,38.06051089,23.78818444
0337,38.05958067,23.8388255
0338,38.01888889,23.84583333
0339,38.02077186,23.75730483
0340,37.94231075,23.6524995
0341,38.01311325,23.66809958
0342,38.0299145,23.85226939
0343,37.94580358,23.65541758
0344,37.93856972,23.70134256
0345,37.93349758,23.70219997
0346,37.94007222,23.71277403
0347,38.03287697,23.72894467
0348,37.92741333,23.71627922
0349,37.92721036,23.73619844
0350,37.94012303,23.73556175
0351,37.95722217,23.72621614
0353,37.95744508,23.76499014
0354,38.07283072,23.77388267
0355,37.97250011,23.77279589
0356,37.99801061,23.82646528
0357,37.94121836,23.64652175
0358,38.01451664,23.70835617
0359,38.01677542,23.72118517
0360,37.99039942,23.80640508
0361,38.02594258,23.80771483
0363,37.98850683,23.73089069
0364,37.98207347,23.73125422
0365,38.01253844,23.81482514
0366,38.05083128,23.75046633
0367,38.02785392,23.71884269
0368,38.03860517,23.73456028
0369,37.96102983,23.68298003
0370,37.93248247,23.64694378
0371,37.96305556,23.69944444
0372,38.06644214,23.74157778
0373,38.02597939,23.68343942
0374,37.93830842,23.65904017
0375,38.09280253,23.77377172
0376,38.02666667,23.81861111
0377,38.00339958,23.88542208
0378,38.02310031,23.71075653
0379,38.01446553,23.70749669
0380,38.02111111,23.81388889
0381,37.76693711,23.46278825
0382,38.01794283,23.79479839
0383,38.00706619,23.79937717
0384,37.95734683,23.66422511
0385,37.99576861,23.72442322
0386,37.85611111,23.76722222
0387,37.89073628,23.7627155
0389,37.99865653,23.75954383
0390,38.05352533,23.81727039
0391,38.06049736,23.82821464
0392,37.91777778,23.745
0393,37.95746953,23.71525089
0394,37.93589042,23.72939611
0396,37.97365208,23.745481
0397,37.99906536,23.36519892
0400,37.97504106,23.74028083
0403,37.96264647,23.74745567
0404,37.99966961,23.32188967
0405,37.98328319,23.32033464
0406,37.41023467,25.30956356
0409,37.95766614,23.81865847
0410,38.04138889,23.80361111
0411,37.98919736,23.74682839
0412,38.06945778,23.78944572
0413,38.02302606,23.79265958
0414,37.95538544,23.75335836
0415,38.17274561,23.72999558
0416,37.90027094,23.87408228
0417,37.96383553,23.59717631
0418,37.94273208,23.68832506
0419,38.00455525,23.88550456
0421,38.0148665,23.82169303
0422,38.01258736,23.70733178
0423,37.97964019,23.75354508
0426,37.99072156,23.70549133
0427,37.9826695,23.72325378
0428,38.00722222,23.7825
0429,38.01112489,23.73619022
0431,37.94812656,23.98720244
0432,37.80775636,23.92448183
0433,37.73466831,24.01051428
0434,37.76722222,24.07527778
0435,37.98716658,23.67381325
0436,38.28527778,23.88
0437,37.88658322,24.01318119
0438,38.042691,23.72445697
0439,38.03847022,23.78682653
0441,38.05835881,23.77318811
0442,37.84977825,24.04290244
0443,37.94492822,23.75736717
0444,38.06802508,23.80821517
0445,37.96382211,23.71660153
0446,37.99315019,23.68347842
0447,38.16765814,23.33879842
0448,38.21676214,23.94881058
0449,38.09160428,23.45929569
0450,38.06541558,23.78342744
0451,37.98888889,23.64722222
0452,38.00555556,23.6675
0454,38.06564083,23.68762294
0455,37.99798278,23.78173406
0456,37.95796306,23.703584
0459,37.95914197,23.75412561
0460,37.99184922,23.72147125
0462,37.91308803,23.71331256
0463,35.30584561,25.42073439
0464,37.92424947,23.70132839
0465,37.95305556,23.73333333
0467,37.91891258,23.72802194
0468,37.86397125,23.75294472
0469,37.98585839,23.64225228
0470,38.01441742,23.78903447
0471,38.03861111,23.67388889
0472,38.00057461,23.75046567
0473,37.8127965,23.78345522
0474,37.97490272,23.72726781
0475,37.80631311,23.77163483
0476,37.97875464,23.72606981
0477,37.99160097,23.71633208
0478,37.96861111,23.72517303
0479,38.09632711,23.82484603
0480,37.98432458,23.73502911
0481,37.95507136,23.64536558
0482,37.99708617,23.68034933
0483,40.23968708,24.30258369
0484,37.97705169,23.65616825
0485,38.05308081,23.83310336
0486,37.95830553,23.71893853
0487,38.02381772,23.73130567
0488,38.03572028,23.79107639
0489,37.9730945,23.69193953
0490,38.01516667,24.01419444
0491,37.80191667,23.77102919
0492,37.95949006,23.63683917
0493,37.98522394,23.65717883
0494,37.94702333,23.62274608
0495,37.95194978,23.63641317
0496,38.04699442,23.73980939
0497,37.93147225,23.63530758
0500,37.97883769,23.74389114
0501,37.97926203,23.73559083
0502,37.94387175,23.66745217
0503,37.92805367,23.63481417
0504,37.94564639,23.74454461
0505,38.02796447,23.64524931
0506,38.10308025,23.74599467
0507,37.93975286,23.72723314
0508,38.03680356,23.79571519
0509,37.98088011,23.72947739
0510,38.03527778,23.80083333
0511,37.97901792,23.73773353
0512,37.94276911,23.87464308
0513,37.89419783,23.73688383
0514,37.9505435,23.77010903
0515,38.03241475,23.79713178
0516,37.95460358,23.6986585
0517,37.97766217,23.73666647
0518,38.06152561,23.73046689
0519,38.00556439,23.71508658
0520,37.95679594,23.61278411
0521,38.03680356,23.79571519
0522,37.94917756,23.61807589
0523,41.03161111,24.28072222
0524,37.97773794,23.65176314
0525,37.96478358,23.56208278
0526,37.98127778,23.73608333
0527,37.93290969,23.68610667
0530,37.97827528,23.74011772
0531,37.937606,23.63774119
0532,37.97222186,23.72935506
0534,37.97394914,23.72125939
0536,38.00819286,23.827992
0537,37.98487739,23.72784008
0538,38.00531617,23.79357033
0539,37.97590003,23.72117719
0540,38.002495,23.69681383
0541,37.97010508,23.72958242
0542,37.96476197,23.67753494
0543,37.97705453,23.72376058
0545,38.02448744,23.78691675
0546,37.98690225,23.73031339
0547,37.88552811,23.92823869
0548,37.97190925,23.63158267
0551,37.98397403,23.73395147
0552,37.97948,23.733428
0553,37.93505669,23.88492842
0556,37.96751364,23.49170247
0558,37.94658742,23.95929358
0560,37.97887897,23.72147481
0561,38.01351817,23.73028225
0562,37.94105747,23.70546069
0563,37.93758294,23.69217022
0564,37.99441939,23.73211453
0565,37.9947005,23.73107069
0567,37.98554928,23.72616072
0568,38.09351106,23.69391853
0570,37.96666667,23.63916667
0571,37.97622911,23.73319853
0572,37.92871819,23.69377458
0576,38.122275,23.79402275
0578,38.01298564,23.68914322
0579,38.09269097,23.86263078
0581,38.07388889,23.75555556
0582,38.013437,23.69531672
0583,37.98437244,23.72819011
0584,37.97901264,23.77095144
0585,38.0600255,23.75699406
0586,38.10633361,23.76537736
0587,38.01784581,23.60621
0588,38.08407267,23.81897803
0589,38.08105269,23.78993792
0590,40.60747514,23.00467311
0591,37.98053625,23.73942222
0592,38.00915486,23.67214267
0593,38.00724819,23.70006194
0594,37.96186894,24.00592161
0597,38.08231653,23.68755533
0599,37.99537111,23.34153875
0600,38.01251406,23.75403678
0601,38.03805556,23.75416667
0602,37.65194444,24.02669444
0603,38.08818194,23.71456603
0605,37.97895489,23.79040097
0606,37.36609772,23.07612517
0607,38.03835894,23.82063131
0608,37.94275119,23.69850025
0609,37.977688,23.74089139
0611,38.08998317,23.62298797
0612,38.00666667,23.875
0613,37.99798256,23.69097183
0615,37.86436608,23.75112922
0616,37.92734911,23.69091636
0618,38.06302106,23.71462978
0619,37.99502675,23.76699328
0620,37.99237044,23.77123072
0621,37.99172386,23.77037411
0622,37.97062756,23.75911308
0623,37.96520667,23.70821661
0624,38.00353778,23.72702547
0625,38.00006222,23.72313481
0627,37.52274906,23.49226419
0628,38.00914956,23.8371905
