eett,latitude,longitude
65251,38.016112,23.756707
65219,38.021219,23.755132
64363,38.136185,23.756881
66631,38.018461,23.727459
66630,38.017069,23.726594
100019,41.151761,24.138448
250120,39.695325,20.848322
62255,37.92613,23.714733
60304,37.883295,23.935476
130250,38.514071,23.639048
60499,37.977466,23.772025
60500,37.97839,23.77009
60017,37.964376,23.725013
50013,39.162147,20.985769
60331,38.23965,23.79669
350202,36.831999,22.696999
66164,37.953644,23.754099
250476,39.520786,21.117505
340435,37.593867,25.070168
10054,38.099117,22.317808
63012,38.00515,23.767901
66162,37.952183,23.753069
10172,37.939219,21.570936
65950,37.953355,23.748303
66161,37.954876,23.750946
60286,37.979561,23.726586
63177,38.021231,23.831182
66579,38.005253,23.724762
66580,38.004263,23.725442
64365,38.14006,23.756386
63211,38.141378,23.750536
400128,39.327245,22.923281
130631,38.959943,24.500872
330288,40.134057,21.738012
160077,40.781714,21.482617
60017,37.964376,23.725013
380024,39.133887,25.997244
330097,40.060394,21.866085
91431,40.710681,23.040348
64141,37.945099,23.723148
61419,37.858106,23.753177
20643,38.607673,21.49751
20138,38.368997,21.431419
60307,37.724808,23.944946
190105,40.038988,23.944217
40049,37.417069,22.367657
60076,37.807444,23.977684
60300,37.831632,23.864347
90092,40.465349,22.860726
61216,37.886998,23.753919
